id,description,discount
250,"Corrosion of first degree of left palm, initial encounter",51
251,"Occup of pk-up/van inj in clsn w rail trn/veh in traf, init",77
252,"Pnctr w/o fb of unsp finger w/o damage to nail, init",31
253,"Nondisp oblique fx shaft of l femr, 7thN",80
254,"Displ suprcndl fx w/o intrcndl extn low end l femr, 7thJ",36
255,Pecked by turkey,99
256,"Nondisp dome fx right talus, subs for fx w routn heal",12
257,"Age-related choroidal atrophy, unspecified eye",63
258,Retained tooth,14
259,"Pasngr in 3-whl mv inj in nonclsn trnsp acc nontraf, sequela",3
260,"Pathological fracture in neoplastic disease, unsp ankle",25
261,"Poisoning by oth parasympath and spasmolytics, undet, subs",20
262,"Poisoning by unsp systemic antibiotic, undetermined, subs",57
263,"Disp fx of base of metacarpal bone, subs for fx w routn heal",58
264,"Fracture of unsp carpal bone, unsp wrist, init for clos fx",67
265,Laceration with foreign body of lower back and pelvis,40
266,"Puncture wound w/o foreign body of unsp buttock, subs encntr",49
267,"Foreign body in ear, unspecified ear",44
268,"Displ transverse fx shaft of unsp ulna, 7thP",98
269,"Nondisp fx of nk of scapula, r shldr, subs for fx w nonunion",63
270,"Burn first deg mult sites of right lower limb, except ank/ft",38
271,"Nondisp spiral fx shaft of r fibula, 7thR",74
272,"Occupant of stcar injured in clsn w mtr veh nontraf, sequela",64
273,Burn of second degree of unspecified toe(s) (nail),53
274,Laceration with foreign body of ear,71
275,"Inj flexor musc/fasc/tend finger at wrs/hnd lv, sequela",81
276,"Poisoning by intravenous anesthetics, undetermined",100
277,Allergic contact dermatitis due to animal (cat) (dog) dander,81
278,"Lacerat musc/fasc/tend at forarm lv, right arm, sequela",82
279,"Nondisp commnt fx shaft of rad, unsp arm, 7thN",72
280,"Lac w fb of l frnt wl of thorax w/o penet thor cavity, init",90
281,Other mosquito-borne viral fevers,40
282,Other types of follicular lymphoma,31
283,"Puncture wound without foreign body of right elbow, sequela",98
284,"Other contact with alligator, initial encounter",37
285,"Disp fx of shaft of 1st MC bone, r hand, 7thK",94
286,Milt op involving accidental deton onboard marine weapons,97
287,Sltr-haris Type I physeal fx upper end of right tibia,56
288,Lacrimal fistula left lacrimal passage,100
289,"Strain of muscle, fascia and tendon of unsp hip, init encntr",35
290,"Lac w/o fb of r little finger w/o damage to nail, subs",48
291,Other physeal arrest of lower leg,44
292,Prsn brd/alit a pedal cycle injured in collision w ped/anml,16
293,Encntr for exam for nrml cmprsn and ctrl in clncl rsrch prog,95
294,"Toxic effect of manganese and its compounds, self-harm",36
295,"Prsn brd/alit hv veh injured in clsn w nonmtr vehicle, subs",5
296,Laceration of unspecified blood vessel at forearm level,18
297,"Dissem chorioretin inflammation of posterior pole, unsp eye",10
298,"Unspecified physeal fracture of unspecified metatarsal, 7thD",73
299,"Nondisp fx of triquetrum bone, unspecified wrist, sequela",70
300,"Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, subs",36
301,"Central cord syndrome at C8, sequela",8
302,"Asphyx due to being trapped in bed linens, self-harm, subs",93
303,"Gastr contents in resp tract, part unsp cause oth inj, init",78
304,"Nondisp intertroch fx unsp femr, 7thM",45
305,"Myopathy, unspecified",64
306,"Contact with nonvenomous toads, initial encounter",97
307,Chagas' disease,74
308,"Underdosing of antimalari/drugs acting on bld protzoa, subs",50
309,"Oth stimulant use, unsp with oth stimulant-induced disorder",54
310,Postprocedural anterior bulbous urethral stricture,17
311,"Otitic barotrauma, initial encounter",98
312,"Displ spiral fx shaft of ulna, unsp arm, 7thR",20
313,"I/I react d/t ventricular intracranial shunt, subs",35
314,"Peripheral corneal degeneration, right eye",47
315,"Insect bite (nonvenomous), left lower leg",16
316,"Chronic inflammation of postmastoidectomy cavity, unsp ear",97
317,Acute disseminated encephalitis and encephalomyelitis (ADEM),45
318,"Disp fx of lunate, unsp wrist, subs for fx w nonunion",98
319,"Sprain of interphaln joint of left lesser toe(s), sequela",76
320,"Maternal care for disproprtn due to other fetal deform, oth",3
321,Toxic effect of ingested mushrooms,61
322,"Unsp physl fx upper end of r femur, subs for fx w delay heal",9
323,Other hereditary corneal dystrophies,52
324,Nondisp fx of proximal phalanx of left little finger,95
325,"Nondisplaced fracture of pisiform, left wrist",67
326,"Fx unsp prt of nk of l femr, 7thQ",1
327,"Injury of digital nerve of left middle finger, init encntr",68
328,"Nondisp Rolando's fracture, r hand, subs for fx w routn heal",54
329,"Poisoning by other opioids, assault, sequela",8
330,"Helicopter crash injuring occupant, sequela",12
331,"Displaced fracture of neck of other metacarpal bone, sequela",44
332,"Maternal care for fetal problem, unsp, third trimester, oth",24
333,"Osteopathy after poliomyelitis, left shoulder",23
334,"Disp fx of middle third of navic bone of r wrist, sequela",63
335,"Toxic effect of venom of caterpillars, undetermined, init",62
336,"Unstbl burst fx unsp lum vertebra, subs for fx w delay heal",67
337,"Reiter's disease, left hip",65
338,Photokeratitis,3
339,Marfan's syndrome,44
340,Puncture wound w foreign body of r idx fngr w damage to nail,22
341,"Traumatic rupture of cervical intervertebral disc, init",90
342,Wound myiasis,5
343,Non-prs chronic ulcer of unsp calf limited to brkdwn skin,94
344,Traumatic rupture of left ulnar collateral ligament,66
345,"Ring corneal ulcer, right eye",28
346,"Osteonecrosis due to drugs, ankle, foot and toes",21
347,Segmental fracture of shaft of humerus,72
348,"Separation of muscle (nontraumatic), right forearm",46
349,"Unsp injury of right shoulder and upper arm, subs encntr",75
350,Athscl autologous artery CABG w ang pctrs w documented spasm,9
351,Nondisplaced other extraarticular fracture of left calcaneus,69
352,Abnormal findings on cytolog and histolog exam of urine,30
353,"Sltr-haris Type IV physl fx low end unsp femr, 7thP",17
354,Contact blepharoconjunctivitis,64
355,Driver of pk-up/van injured in collision w oth mv in traf,10
356,"Poisoning by oxytocic drugs, accidental, sequela",9
357,"Twin pregnancy, dichorionic/diamniotic, first trimester",52
358,"Occup of 3-whl mv inj in clsn w statnry object nontraf, subs",8
359,Corrosion of first degree of unspecified palm,11
360,"Open bite of abdominal wall, periumb rgn w penet perit cav",27
361,Congenital lens malformations,90
362,Toxic effects of cadmium and its compounds,52
363,"Toxic effect of coral snake venom, undetermined, sequela",66
364,Cellulitis of neck,21
365,"Contact with paper-cutter, initial encounter",7
366,"Disp fx of med epicondyl of unsp humer, 7thP",61
367,Disorders of refraction and accommodation,80
368,Other marginal perforations of tympanic membrane,72
369,Nondisplaced fracture of unspecified radial styloid process,40
370,"Unsp injury of popliteal artery, right leg, init encntr",9
371,"Adverse effect of drug/meds/biol subst, subs",27
372,Other intraoperative complications of genitourinary system,83
373,Athscl nonbiological bypass of extremity w ulceration,45
374,"Corneal staphyloma, left eye",84
375,Other and unspecified injury to sacral spinal cord,18
376,"Subacute osteomyelitis, ankle and foot",36
377,Partial traumatic MCP amputation of left ring finger,33
378,"Maternal care for face, brow and chin presentation, fetus 5",48
379,"Maternal care for viable fetus in abd preg, second tri, unsp",62
380,"Subluxation of T12/L1 thoracic vertebra, sequela",12
381,"Contusion of unspecified ear, initial encounter",38
382,"Sprain of jaw, unspecified side",2
383,"Heat exposure on board unspecified watercraft, sequela",60
384,Congenital kyphosis,34
385,"Fall from burning bldg in controlled fire, init",61
386,Nondisplaced fracture of posterior wall of left acetabulum,95
387,"Disp fx of post wall of unsp acetab, subs for fx w nonunion",32
388,"Pnctr w/o fb of unsp frnt wl of thrx w/o penet thor cav,init",63
389,"Corrosion of 2nd deg mul sites of left wrs/hnd, sequela",36
390,"Complete traumatic amp of unsp forearm, level unsp, subs",87
391,"Postp hemor, hematoma, and seroma of eye and adnx fol a proc",96
392,"Pre-existing type 1 diabetes mellitus, in the puerperium",36
393,Rheumatoid vasculitis with rheumatoid arthritis of left knee,1
394,"Nondisp fx of prox phalanx of unsp fngr, 7thG",100
395,"Hormones and their synthetic substitutes and antag, NEC",30
396,Injury of radial nerve at forearm level,65
397,Gottron's papules,81
398,Unspecified injury of heart with hemopericardium,66
399,Incomplete lesion of sacral spinal cord,55
400,"Poisn by androgens and anabolic congeners, self-harm, subs",21
401,Obstructed labor due to pelvic inlet contraction,60
402,"Mtrcy driver injured in nonclsn trnsp accident in traf, subs",99
403,Other calcerous corneal degeneration,57
404,"Underdosing of antifungal antibiotics, sys used, subs",51
405,"Toxic effect of unspecified seafood, assault, sequela",99
406,"Oth acute nonsuppurative otitis media, recurrent, bilateral",55
407,"Lacerat musc/fasc/tend at shldr/up arm, unsp arm, sequela",13
408,"Maternal care for oth fetal problems, second tri, fetus 3",17
409,"Other infective (teno)synovitis, left hand",38
410,"Disp fx of unsp tibial tuberosity, 7thG",57
411,"Disp fx of med condyle of unsp tibia, 7thJ",55
412,Benign neoplasm of connective and oth soft tissue of pelvis,12
413,"Corrosion of second degree of unsp forearm, subs encntr",18
414,"Sltr-haris Type III physl fx low end r femr, 7thD",51
415,"Sprain of the super tibiofibul joint and ligmt, r knee, subs",55
416,Other acute skin changes due to ultraviolet radiation,92
417,Periostitis of unspecified orbit,99
418,Rheumatoid myopathy with rheumatoid arthritis of unsp knee,75
419,"Unsp disp fx of third cervcal vert, subs for fx w nonunion",81
420,Displaced subtrochanteric fracture of left femur,76
421,"Inj extn musc/fasc/tend r mid finger at wrs/hnd lv, sequela",98
422,"Displaced bicondylar fx r tibia, init for opn fx type 3A/B/C",10
423,"Lordosis, unspecified, site unspecified",5
424,Acquired absence of wrist,41
425,"Sltr-haris Type III physl fx low end l femr, 7thG",35
426,Other benign neuroendocrine tumors,56
427,"Poisoning by aminoglycosides, undetermined, subs encntr",21
428,"Inj cutan sens nerve at hip and high level, right leg, init",17
429,"Fracture of unspecified carpal bone, left wrist",80
430,Other fractures of lower leg,47
431,"Underdosing of other psychotropic drugs, sequela",89
432,"Acute atopic conjunctivitis, unspecified eye",92
433,"Nondisp fx of proximal phalanx of finger, init for opn fx",8
434,"Major osseous defect, unspecified ankle and foot",8
435,"Attention-deficit hyperactivity disorder, unspecified type",18
436,"Strain of left quadriceps muscle, fascia and tendon, subs",65
437,"Driver of special construction vehicle injured in traf, subs",54
438,Other dentofacial anomalies,92
439,Isolated proteinuria with minor glomerular abnormality,77
440,"Oth fracture of right acetabulum, init for opn fx",44
441,Other specified injury of posterior tibial artery,44
442,"Insect bite (nonvenomous), unspecified thigh, subs encntr",36
443,"Disp fx of mid 3rd of navic bone of l wrist, init for opn fx",10
444,Unspecified chorioretinal scars,53
445,"Adherent leukoma, left eye",89
446,"Pathological fracture in other disease, left hand",23
447,Family hx of arthrit and oth dis of the ms sys and conn tiss,48
448,Other specified intracranial injury,22
449,Inj/poisn/oth conseq of external causes compl preg/chldbrth,92
450,Beta thalassemia,68
451,Encounter for exam of ears and hearing w abnormal findings,12
452,Idiopathic aseptic necrosis of left carpus,95
453,"Nondisp commnt fx shaft of r femr, 7thM",32
454,"Insect bite (nonvenomous), right ankle, subsequent encounter",72
455,"Disp fx of base of nk of r femr, 7thF",11
456,"Nursemaid's elbow, unspecified elbow",78
457,"Nondisp oblique fracture of shaft of unsp tibia, sequela",80
458,"Explosion of other specified explosive materials, sequela",77
459,"Nondisp seg fx shaft of rad, unsp arm, 7thJ",15
460,"Oth superfic bite of abd, low back, pelv and extrn genitals",49
461,Malignant melanoma of right ear and external auricular canal,7
462,"Barton's fx unsp rad, subs for opn fx type I/2 w delay heal",3
463,"Poisoning by chloramphenicol group, assault, subs encntr",3
464,Fracture of superior rim of pubis,6
465,"Toxic effect of venom of hornets, self-harm, sequela",77
466,Low grade intrepith lesion cyto smr anus (LGSIL),45
467,"Acute eczematoid otitis externa, right ear",4
468,Acquired absence of right upper limb above elbow,6
469,"Nondisp fx of intermed cuneiform of l ft, 7thP",67
470,"Pain due to genitourinary prosth dev/grft, initial encounter",16
471,"Obst due to fb acc left in body following endo exam, sequela",6
472,"Inj right quadriceps muscle, fascia and tendon, subs encntr",41
473,"Unspecified injury of urethra, subsequent encounter",16
474,"Collapsed vert, NEC, cerv region, subs for fx w routn heal",3
475,"Unsp fracture of lower end of left ulna, init for clos fx",58
476,"Person outsd car inj in clsn w nonmtr vehicle nontraf, sqla",19
477,Rheumatoid polyneuropathy w rheumatoid arthritis mult site,14
478,"Preterm labor second tri w preterm del third tri, fetus 2",44
479,Problems related to employment and unemployment,26
480,"Injury of radial nerve at wrs/hnd lv of unsp arm, subs",58
481,Tick-borne relapsing fever,97
482,Malignant neoplasm of hard palate,8
483,"Laceration without foreign body, right knee, sequela",18
484,Other mechanical complication of infusion catheter,43
485,"Disp fx of head of left radius, subs for clos fx w nonunion",71
486,"Oth fx unsp patella, subs for opn fx type I/2 w delay heal",52
487,"Unspecified sprain of right thumb, sequela",14
488,"Nondisp transverse fracture of shaft of humerus, right arm",25
489,"Corrosion of unsp degree of left hand, unsp site, sequela",35
490,"Malignant neoplasm of breast of unspecified site, female",16
491,"Local-rel idio epi w seiz of loc onset, ntrct, w stat epi",39
492,"Advrs effect of unsp drugs aff the autonm nervous sys, init",99
493,"Unspecified superficial injury of unspecified wrist, sequela",68
494,Other physeal fracture of phalanx of left toe,78
495,"Corrosion of unsp degree of female genital region, init",30
496,"Burn unsp deg mult left fngr (nail), not inc thumb, sequela",33
497,"Nondisplaced spiral fracture of shaft of unsp femur, init",68
498,"Nondisp fx of glenoid cavity of scapula, unsp shoulder, init",33
499,"Driver of hv veh inj in clsn w rail trn/veh nontraf, sequela",28
500,"War op w unsp fire/conflagr/hot subst, civilian, subs",36
501,"Nondisp longitud fx l patella, init for opn fx type 3A/B/C",19
502,"Unsp fracture of shaft of humerus, unspecified arm, sequela",85
503,Nondisplaced transverse fracture of right acetabulum,77
504,Cervical disc disorder at C5-C6 level with myelopathy,54
505,Melanoma in situ,76
506,"Subacute osteomyelitis, hand",88
507,Pulp degeneration,46
508,Chronic viral hepatitis,62
509,Esophagostomy hemorrhage,17
510,"Exposure to ignition of oth clothing and apparel, subs",94
511,"Unspecified physeal fracture of right metatarsal, 7thB",38
512,"Driver of hv veh injured in collision w hv veh in traf, init",14
513,"Subluxation of interphalangeal joint of unsp great toe, init",69
514,Legal intervention involving other specified means,62
515,"Chronic gout due to renal impairment, unsp hip, with tophus",56
516,"Nondisp fx of fifth metatarsal bone, l foot, init for opn fx",3
517,"Type 1 diab with mod nonp rtnop with macular edema, l eye",21
518,"Fracture of superior rim of left pubis, init for opn fx",38
519,"Cutaneous follicle center lymphoma, lymph nodes mult site",42
520,"Fetal anemia and thrombocytopenia, unsp trimester, fetus 1",13
521,"Apocrine sweat disorder, unspecified",15
522,"Primary blast injury of transverse colon, initial encounter",71
523,Nontraumatic compartment syndrome of upper extremity,21
524,"Open bite of unspecified finger with damage to nail, sequela",13
